,,,,,ADT Tu-Th,"48,152","51,064","53,698","57,742","57,932","59,034","61,071","63,632","59,200","56,870","54,559","51,137","56,234"
,,,,,ADT Sa,"44,587","46,445","48,450","56,865","57,572","61,190","65,190","67,228","63,335","58,237","51,722","49,927","55,922"
,,,,,ADT Su,"36,133","38,063","40,214","46,909","48,652","53,448","55,674","60,376","54,104","47,888","40,392","40,508","46,955"
143,"BASEL, GRENZBRUECKE (AB)",,BS,A 2,ADT,,,,,,,"26,503","27,454","25,307","25,145",,,
,,,,,AWT,,,,,,,"25,797","26,038","24,806","25,073",,,
,,,,,ADT Tu-Th,,,,,,,"25,255","25,164","24,278","24,766",,,
,,,,,ADT Sa,,,,,,,"28,907","30,170","27,829","26,915",,,
,,,,,ADT Su,,,,,,,"28,154","29,912","25,545","23,794",,,
145,AARBURG N,,AG,H 2,ADT,"22,994","24,165","24,988","24,196","25,081","24,647","22,886",,,,,,
,,,,,AWT,"24,478","25,415","26,184","26,019","26,209","26,310","24,229",,,,,,
,,,,,ADT Tu-Th,"24,329","25,233","26,091","25,927","26,134","26,214","24,366",,,,,,
,,,,,ADT Sa,"22,971","24,078","25,415","24,067","25,767","24,718","21,504",,,,,,
,,,,,ADT Su,"16,478","18,003","19,537","18,203","19,658","19,058","16,541",,,,,,
147,CONT. DE BULLE (AR),,FR,A 12,ADT,"39,040","42,536","42,422",,,,,,,,,,
,,,,,AWT,"39,923","42,591","43,150",,,,,,,,,,
,,,,,ADT Tu-Th,"39,146","41,701","42,784",,,,,,,,,,
,,,,,ADT Sa,"40,563","46,841","44,526",,,,,,,,,,
,,,,,ADT Su,"33,936","37,955","37,258",,,,,,,,,,
149,MEX (AR),,VD,A 1,ADT,"67,396","73,215","74,170","74,906","76,522","78,700","75,160","75,330","76,808","76,068","73,401","71,151","74,395"
,,,,,AWT,"71,664","76,968","78,370","79,677","80,523","83,133","78,504","78,999","79,252","79,687","78,836","75,503","78,392"
,,,,,ADT Tu-Th,"70,806","76,287","78,156","79,063","81,281","82,702","77,528","77,768","79,964","79,327","78,894","74,584","77,994"
,,,,,ADT Sa,"65,335","71,030","71,542","71,552","71,629","75,844","70,550","72,452","75,155","70,373","69,301","70,444","71,264"
,,,,,ADT Su,"50,267","56,637","59,160","61,240","64,609","65,828","60,545","65,500","65,016","60,949","55,764","56,390","60,255"
150,GOTTHARDTUNNEL,,UR,A 2,ADT,"13,105","13,307","15,133","21,210","19,548","21,625","26,390","27,674","21,300","20,067","14,370","16,155","19,200"
,,,,,AWT,"12,393","12,781","14,296","19,177","18,147","19,101","24,317","24,853","19,141","18,424","13,468","15,150","17,644"
,,,,,ADT Tu-Th,"11,737","11,977","13,353","18,514","16,732","17,436","23,285","23,220","17,397","16,901","12,551","14,414","16,587"
,,,,,ADT Sa,"14,342","13,808","15,947","24,448","21,760","27,299","32,536","33,148","28,117","25,549","15,445","19,129","22,546"
,,,,,ADT Su,"15,249","15,441","17,831","25,829","23,219","26,255","32,165","32,516","26,360","24,035","16,902","17,689","22,862"
155,"GLETSCH N, GRIMSEL",,VS,H 6,ADT,,,,,"2,610",,"2,710",,,,,,
,,,,,AWT,,,,,"2,116",,"2,415",,,,,,
,,,,,ADT Tu-Th,,,,,895,,"2,325",,,,,,
,,,,,ADT Sa,,,,,"3,455",,"3,872",,,,,,
,,,,,ADT Su,,,,,"2,755",,"3,247",,,,,,
156,SEELISBERGTUNNEL (AB),,UR,A 2,ADT,"16,533","16,646","17,847","22,875","22,743","26,093","32,025","33,286","26,843","23,174","17,449","18,354","22,868"
,,,,,AWT,"16,814","17,101","18,231","22,412","22,115","24,530","30,125","30,844","25,234","22,295","18,083","18,300","22,220"
,,,,,ADT Tu-Th,"16,547","16,653","17,810","21,972","21,182","23,730","28,516","29,346","23,642","21,321","17,708","17,688","21,451"
,,,,,ADT Sa,"16,428","15,913","17,351","24,829","24,745","29,382","38,635","38,528","31,582","26,839","16,888","20,021","25,040"
,,,,,ADT Su,"15,384","15,101","16,728","23,117","23,376","29,110","36,343","37,056","30,959","24,565","15,470","17,430","23,716"
157,"ALVASCHEIN, SOLISTUNNEL",,GR,H 417,ADT,"7,391","8,871","7,740","6,447","6,142","7,982","8,563","9,137","7,763","7,700","5,815","7,549","7,588"
,,,,,AWT,"7,007","7,832","7,321","6,616","6,313","7,966","8,504","9,206","7,580","7,610","6,148","7,323","7,458"
,,,,,ADT Tu-Th,"6,351","7,070","6,810","6,483","6,149","7,700","8,164","8,809","7,117","7,246","5,987","6,984","7,083"
,,,,,ADT Sa,"8,675","12,433","8,672","6,490","5,993","8,188","8,663","8,741","7,958","8,262","5,406","8,235","8,071"
,,,,,ADT Su,"8,050","10,505","8,568","5,856","5,577","7,899","8,801","9,239","8,577","7,653","4,888","7,885","7,714"
159,"EMMENBRUECKE, RIFFIG (AB)",,LU,A 2,ADT,"55,690","57,698","59,647","64,964","66,255","67,767","70,626","73,158","68,881","65,998","60,983","58,449","64,213"
,,,,,AWT,"58,542","60,524","63,135","68,064","68,490","69,463","71,973","74,379","69,514","67,622","64,680","61,358","66,493"
,,,,,ADT Tu-Th,"58,269","60,176","63,077","67,649","68,194","68,353","71,077","73,851","68,517","67,011","64,866","60,793","66,053"
,,,,,ADT Sa,"54,017","55,558","57,187","65,379","66,097","69,079","71,467","74,926","71,665","67,503","59,697","58,656","64,285"
,,,,,ADT Su,"44,479","45,707","47,458","54,356","57,025","61,241","62,038","67,613","62,618","55,152","47,482","48,129","54,538"
160,LA HEUTTE (AR),,BE,A 16,ADT,"18,959","20,395","20,975","21,025","21,696","21,804","20,320","21,556","22,210","21,697","21,238","19,984","20,987"
,,,,,AWT,"20,855","22,164","22,914","23,049","23,482","23,694","21,634","23,334","23,372","23,174","23,549","21,666","22,722"
,,,,,ADT Tu-Th,"20,776","22,096","22,955","23,010","23,649","23,589","21,534","23,129","23,246","23,061","23,609","21,408","22,642"
,,,,,ADT Sa,"16,720","18,249","19,337","19,569","19,586","19,719","18,662","19,518","20,833","19,237","19,523","19,196","19,203"
,,,,,ADT Su,"12,410","13,695","14,470","15,250","16,306","16,895","14,422","17,328","17,196","15,661","13,708","14,624","15,216"
162,"MUEHLEBERG, SAANEVIAD. (AB)",,BE,A 1,ADT,"28,098","29,929","31,042","34,111","34,563","37,131","36,952","38,075","35,259","33,266","30,743","29,902","33,272"
,,,,,AWT,"29,205","30,734","32,062","34,695","35,045","36,798","37,349","38,349","35,125","33,952","32,213","31,176","33,893"
,,,,,ADT Tu-Th,"28,844","30,251","31,873","34,445","34,684","35,842","36,760","37,381","34,318","33,495","32,131","30,475","33,414"
,,,,,ADT Sa,"29,603","31,057","31,385","35,240","34,221","38,786","38,127","37,575","37,058","33,095","30,432","30,411","33,877"
,,,,,ADT Su,"22,022","24,777","26,415","31,412","32,881","37,138","33,492","37,579","34,196","29,494","25,176","25,102","30,128"
163,MUENCHENBUCHSEE N (AB),,BE,A 6,ADT,"30,799","33,366","33,574","32,518","34,139","34,074","32,743","33,703",,,"34,474","32,194",
,,,,,AWT,"33,677","35,938","36,555","36,141","37,351","37,764","35,517","37,389",,,"37,848","35,258",
,,,,,ADT Tu-Th,"33,362","35,759","36,611","36,042","37,679","37,775","35,605","37,334",,,"37,956","34,721",
,,,,,ADT Sa,"28,240","31,550","31,390","29,407","30,553","30,867","28,402","30,253",,,"32,554","30,478",
,,,,,ADT Su,"20,181","22,322","23,238","22,516","24,236","23,913","21,133","24,293",,,"22,899","22,613",
164,VISP W,,VS,H 9,ADT,"16,936","19,075","19,118","19,241","18,773","19,784","21,552","22,193","21,050","19,710",,,
,,,,,AWT,"17,800","19,455","19,829","20,205","19,877","20,874","22,391","22,819","21,578","20,571",,,
,,,,,ADT Tu-Th,"17,334","18,849","19,250","19,602","19,796","20,340","21,978","22,405","21,059","20,179",,,
,,,,,ADT Sa,"17,129","21,124","19,722","19,390","17,227","18,105","20,527","21,844","20,846","18,568",,,
,,,,,ADT Su,"12,982","15,130","15,528","15,930","15,680","17,272","17,750","20,400","18,348","15,900",,,
165,MARTIGNY N (AR),,VS,A 9,ADT,"44,661","50,633","49,228","45,340","45,542","47,863","51,920","53,321","51,207","49,566","44,421","45,750","48,280"
,,,,,AWT,"44,745","49,597","48,633","45,489","46,312","48,285","52,376","52,438","50,369","49,901","46,018","46,207","48,402"
,,,,,ADT Tu-Th,"42,260","47,662","46,993","44,178","45,600","47,304","51,347","50,691","48,529","48,685","45,276","45,554","47,046"
,,,,,ADT Sa,"47,248","58,456","52,798","47,913","44,962","47,420","52,681","55,414","55,042","51,009","44,912","47,970","50,411"
,,,,,ADT Su,"42,224","47,992","48,154","43,128","42,888","46,751","48,535","54,521","51,985","46,195","37,539","42,670","45,921"
166,BIASCA S (AS),,TI,A 2,ADT,"24,689","25,525","26,775","33,543","33,707","39,242","45,675","46,876","39,648","35,984","25,497","27,420","33,774"
,,,,,AWT,"24,810","25,754","27,179","32,770","32,501","36,684","43,466","42,969","37,634","34,590","26,056","27,559","32,750"
,,,,,ADT Tu-Th,"24,215","25,013","26,247","32,108","31,118","34,806","41,452","40,205","35,517","32,706","25,149","27,026","31,477"
,,,,,ADT Sa,"25,369","24,757","25,811","34,992","35,541","44,804","53,468","54,404","45,565","41,014","25,063","28,845","36,526"
,,,,,ADT Su,"23,614","25,148","26,041","35,155","36,935","44,061","50,583","53,628","44,813","38,971","23,695","25,985","35,708"
167,"EBIKON, RATHAUSEN (AB)",,LU,A 14,ADT,"72,776","76,318","77,978","78,689","80,849","79,644","78,335","77,329","80,362","80,039","78,082","71,742","77,673"
,,,,,AWT,"77,531","80,130","82,866","84,878","85,319","84,400","82,361","83,112","82,874","83,788","82,931","76,233","82,182"
,,,,,ADT Tu-Th,"77,671","80,365","82,701","84,989","85,815","83,961","82,395","84,349","82,032","84,107","83,606","74,943","82,229"
,,,,,ADT Sa,"70,056","75,837","76,025","76,620","79,038","76,355","72,258","71,701","79,018","77,326","78,040","71,233","75,362"
,,,,,ADT Su,"54,031","57,737","59,402","59,437","63,888","65,981","61,261","62,743","67,893","61,193","58,730","56,362","60,662"
169,"FLUELA, TSCHUGGEN",,GR,H 28,ADT,970,,,"1,395",,,,,,,,,
,,,,,AWT,"1,063",,,"1,181",,,,,,,,,
,,,,,ADT Tu-Th,,,,"1,138",,,,,,,,,
,,,,,ADT Sa,"1,071",,,"1,747",,,,,,,,,
,,,,,ADT Su,775,,,"1,700",,,,,,,,,
170,GIESSBACHTUNNEL (AB),,BE,A 8,ADT,,,,"9,490","10,619","13,609","14,180","15,597","12,263","10,865","8,202","8,566",
,,,,,AWT,,,,"9,288","10,276","12,819","13,920","15,311","11,603","10,717","8,377","8,605",
,,,,,ADT Tu-Th,,,,"9,140","9,870","12,614","14,220","14,819","11,168","10,502","8,216","8,422",
,,,,,ADT Sa,,,,"10,684","11,739","14,873","15,726","15,818","14,439","11,867","8,531","9,127",
,,,,,ADT Su,,,,"9,368","10,935","15,402","14,129","16,369","13,714","10,719","7,177","8,056",
171,SATTEL N,,SZ,H 8,ADT,,"10,696",,,,,,,,,"11,144","10,802",
,,,,,AWT,,"11,054",,,,,,,,,"11,706","11,241",
,,,,,ADT Tu-Th,,"11,031",,,,,,,,,"11,693","11,070",
,,,,,ADT Sa,,"10,644",,,,,,,,,"11,138","10,747",
,,,,,ADT Su,,"8,959",,,,,,,,,"8,902","9,304",
172,"AIGLE, PONT GRANDE EAU",,VD,H 11,ADT,"7,185","8,006","6,713","5,768","5,933","6,527","6,814","7,474","6,348","5,742","5,451","6,284","6,514"
,,,,,AWT,"6,356","7,514","6,374","5,821","5,884","6,334","6,791","7,250","6,111","5,809","5,481","6,087","6,313"
,,,,,ADT Tu-Th,"6,062","7,144","6,280","5,662","5,676","6,155","6,767","7,047","6,052","5,792","5,404","6,002","6,168"
,,,,,ADT Sa,"9,546","9,486","7,783","6,800","6,389","6,768","7,086","7,594","7,314","5,872","6,224","7,050","7,301"
,,,,,ADT Su,"8,947","8,987","7,068","4,901","5,681","7,010","6,674","8,122","6,689","5,232","4,554","6,461","6,676"
173,LES VERRIERES,,NE,H 10,ADT,"3,759","4,204","4,071","4,311","4,252","4,521","3,940","3,786","4,428","4,279","4,102","3,757","4,114"
,,,,,AWT,"4,493","4,962","4,907","5,198","4,961","5,342","4,459","4,309","5,047","4,924","4,998","4,477","4,834"
,,,,,ADT Tu-Th,"4,527","5,017","4,978","5,205","5,005","5,377","4,489","4,256","5,152","4,951","5,021","4,407","4,860"
,,,,,ADT Sa,"2,556","2,896","2,913","3,166","3,215","3,481","2,986","3,138","3,261","3,035","2,983","2,890","3,045"
,,,,,ADT Su,"1,492","1,720","1,717","2,119","2,310","2,478","1,916","2,585","2,190","1,812","1,634","1,816","2,005"
174,COL DES ROCHES,,NE,H 20,ADT,"8,637","9,229","9,019","9,109","8,806","9,107","8,183","8,230","9,197","9,405","8,967","8,533","8,863"
,,,,,AWT,"10,101","10,589","10,491","10,726","10,039","10,558","9,153","9,587","10,257","10,571","10,405","9,921","10,191"
,,,,,ADT Tu-Th,"10,073","10,485","10,492","10,630","10,052","10,468","9,088","9,471","10,206","10,464","10,260","9,702","10,105"
,,,,,ADT Sa,"6,923","7,630","7,883","7,549","7,591","7,747","6,906","7,061","8,059","7,810","8,073","7,734","7,586"
,,,,,ADT Su,"3,568","4,032","3,976","4,762","4,844","5,176","3,883","4,680","4,508","4,290","4,107","4,207","4,371"
175,CONT. DE FRIBOURG (AR),,FR,A 12,ADT,"37,993","41,429","40,590","39,994","40,802","41,006","42,242","40,886","42,148","41,337","39,476","38,513","40,526"
,,,,,AWT,"39,777","41,943","41,726","42,494","42,901","42,888","43,976","42,688","43,244","43,040","41,900","40,100","42,235"
,,,,,ADT Tu-Th,"39,017","41,213","41,315","42,306","42,836","42,373","43,355","42,514","42,630","42,340","41,482","39,652","41,773"
,,,,,ADT Sa,"39,391","47,054","43,331","39,353","39,384","40,834","40,904","39,805","43,299","40,318","39,785","41,281","41,178"
,,,,,ADT Su,"29,024","33,236","33,077","32,088","33,407","34,847","33,606","35,779","34,963","32,568","29,469","31,112","32,755"
178,"ANDELFINGEN, WEINLANDBR.",,ZH,A 4,ADT,"31,422","33,011","34,980","36,222","36,624","36,756","36,186","35,150","33,500","32,750","31,337","29,867","33,987"
,,,,,AWT,"33,185","35,000","36,396","37,484","37,553","36,745","37,373","35,271","33,294","33,356","32,379","30,980","34,903"
,,,,,ADT Tu-Th,"32,862","34,830","36,154","37,209","37,003","36,114","37,325","34,686","32,380","32,951","32,179","30,439","34,530"
,,,,,ADT Sa,"30,732","32,512","34,781","36,762","36,974","39,917","34,680","36,574","36,144","33,088","32,521","30,730","34,664"
,,,,,ADT Su,"24,219","23,562","29,232","31,654","32,373","34,686","30,871","33,559","31,992","28,929","25,987","25,398","29,537"
180,THAYNGEN,,SH,H 15,ADT,"13,704","14,400","15,195","16,509","16,187","17,489","16,601","17,743","16,896","16,103","15,067","14,901","15,906"
,,,,,AWT,"14,026","14,632","15,324","16,513","16,104","16,885","16,663","17,457","16,603","16,066","15,267","15,059","15,881"
,,,,,ADT Tu-Th,"13,656","14,262","14,955","16,238","15,558","16,179","16,374","16,918","16,089","15,586","14,861","14,422","15,442"
,,,,,ADT Sa,"14,518","15,084","16,101","16,910","16,970","19,114","16,958","18,712","18,292","16,770","15,451","16,197","16,760"
,,,,,ADT Su,"11,635","12,556","13,750","16,226","15,754","18,418","15,888","17,891","17,114","15,651","13,887","13,486","15,268"
181,FLURLINGEN S (AB),,ZH,A 4,ADT,"28,869","30,649","32,163","33,486","33,553","34,930","32,853","34,912","34,275","33,046","32,147","30,396","32,611"
,,,,,AWT,"30,810","32,620","34,038","35,244","34,880","35,831","34,191","35,807","34,884","34,244","33,960","32,212","34,040"
,,,,,ADT Tu-Th,"30,495","32,512","33,871","35,063","34,718","35,306","34,113","35,289","34,439","33,916","33,759","31,714","33,761"
,,,,,ADT Sa,"27,541","28,688","30,856","32,866","32,796","36,159","30,793","35,278","34,747","31,720","31,793","30,063","31,998"
,,,,,ADT Su,"21,396","22,751","25,595","28,039","28,740","31,110","27,220","31,625","30,451","27,486","25,252","24,265","27,113"
182,KIRCHBERG N (AB),,BE,A 1,ADT,,,,"70,062","69,045","70,303","71,140","74,202","70,439","69,760","66,242","66,374",
,,,,,AWT,,,,"70,534","69,461","70,033","71,050","74,217","69,696","69,703","66,567","66,422",
,,,,,ADT Tu-Th,,,,"70,085","69,085","69,255","70,179","72,759","68,764","68,619","66,142","65,121",
,,,,,ADT Sa,,,,"72,797","70,505","74,334","74,192","75,831","75,825","73,109","70,092","70,889",
,,,,,ADT Su,,,,"66,663","65,839","68,517","68,608","72,792","69,141","66,738","61,091","63,199",
184,"BERN, BUEMPLIZ (AB)",,BE,A 12,ADT,"43,276","47,233","47,539","46,426","47,167","48,559","50,058","50,538","47,984","48,973","46,893","45,436","47,509"
,,,,,AWT,"46,535","49,475","50,775","50,638","51,066","52,548","53,062","54,670","50,397","51,985","51,037","48,634","50,893"
,,,,,ADT Tu-Th,"46,063","49,097","50,808","50,653","51,580","52,188","52,840","54,453","49,947","51,622","51,071","47,576","50,659"
,,,,,ADT Sa,"41,093","48,198","46,185","42,308","42,005","44,442","45,384","45,607","44,650","44,092","43,808","44,757","44,379"
,,,,,ADT Su,"30,679","35,052","35,299","35,130","35,954","38,006","37,460","40,877","38,045","36,535","33,403","34,696","35,955"
186,ST-GINGOLPH E,,VS,H 21,ADT,"11,051","12,138",,,,"12,933",,,,,,,
,,,,,AWT,"11,868","12,755",,,,"13,518",,,,,,,
,,,,,ADT Tu-Th,"11,675","12,545",,,,"13,348",,,,,,,
,,,,,ADT Sa,"10,669","12,357",,,,"13,044",,,,,,,
,,,,,ADT Su,"7,764","8,832",,,,"10,907",,,,,,,
188,LA CURE,,VD,H 123,ADT,,,,,,,,,,,,"5,950",
,,,,,AWT,,,,,,,,,,,,"6,633",
,,,,,ADT Tu-Th,,,,,,,,,,,,"6,548",
,,,,,ADT Sa,,,,,,,,,,,,"5,093",
,,,,,ADT Su,,,,,,,,,,,,"4,130",
189,LE LOCLE E,,NE,H 20,ADT,,,,,,,,,,,"20,639","19,139",
,,,,,AWT,,,,,,,,,,,"24,014","22,149",
,,,,,ADT Tu-Th,,,,,,,,,,,"24,057","21,970",
,,,,,ADT Sa,,,,,,,,,,,"18,047","16,748",
,,,,,ADT Su,,,,,,,,,,,"9,732","10,201",
191,GOLDAU S (AB),,SZ,A 4,ADT,"26,051","27,505","27,280","28,207","29,089","30,737","29,172","31,538","30,813","29,740","27,309","26,586","28,672"
,,,,,AWT,"27,203","28,523","28,871","30,300","30,554","31,475","30,370","32,412","31,327","30,723","29,317","28,276","29,941"
,,,,,ADT Tu-Th,"27,118","28,061","28,390","30,143","30,163","30,472","30,125","31,956","30,692","30,089","28,968","28,023","29,526"
,,,,,ADT Sa,"25,935","27,471","26,012","27,549","28,165","32,080","28,479","31,119","32,007","29,772","26,130","26,406","28,383"
,,,,,ADT Su,"21,074","22,453","21,864","21,668","23,861","27,381","22,981","28,971","26,792","24,058","20,458","20,792","23,572"
194,URDORF (AB),,ZH,A 3,ADT,"84,354","88,826","88,714","88,150","90,228","94,658","86,842","88,300","87,067","87,917","86,529","84,214","87,964"
,,,,,AWT,"87,571","91,154","90,900","91,064","91,495","96,078","88,558","90,795","87,445","89,497","88,543","86,913","89,936"
,,,,,ADT Tu-Th,"86,842","90,583","89,647","90,752","91,073","95,040","87,784","89,335","85,841","88,788","87,717","85,871","89,041"
,,,,,ADT Sa,"85,453","90,538","90,105","89,409","92,970","99,828","87,733","88,227","91,272","89,062","89,936","86,767","90,124"
,,,,,ADT Su,"69,321","75,478","78,140","77,598","82,166","86,476","76,084","80,045","80,779","77,687","75,066","73,065","77,778"
195,ERSTFELD S (AB),,UR,A 2,ADT,"18,696","19,659","21,034","26,081","26,214","32,416","36,695","40,434","31,211","27,875","19,320","21,957","26,853"
,,,,,AWT,"17,702","18,819","20,199","24,619","24,588","29,027","34,343","36,271","28,206","25,774","18,814","20,772","24,982"
,,,,,ADT Tu-Th,"16,832","17,605","19,105","23,855","22,775","27,088","32,637","33,698","25,932","23,999","17,815","19,554","23,550"
,,,,,ADT Sa,"20,664","20,925","21,810","28,638","29,147","37,782","42,942","47,072","39,002","33,980","19,705","25,432","30,502"
,,,,,ADT Su,"21,495","22,590","23,766","29,252","30,110","40,134","43,974","48,781","39,951","33,849","20,961","23,787","31,581"
196,"ANDERMATT, SCHOELLENEN",,UR,A 2,ADT,"5,050","5,454","4,752","3,530","5,319","10,036","10,448","12,299","8,998","6,009","3,277","4,853","6,681"
,,,,,AWT,"4,318","4,714","4,451","3,487","4,720","8,648","9,481","10,525","8,144","5,362","3,307","4,338","5,980"
,,,,,ADT Tu-Th,"4,062","4,287","4,374","3,316","4,380","8,277","8,552","9,413","7,402","4,988","3,205","4,017","5,539"
,,,,,ADT Sa,"6,804","7,134","5,202","3,847","6,348","11,630","14,004","14,915","10,262","7,175","3,240","6,010","8,000"
,,,,,ADT Su,"6,867","7,472","5,567","3,464","6,805","13,599","12,451","16,030","12,427","8,563","3,195","5,883","8,495"
197,DALLENWIL,,NW,H 374,ADT,"8,850","9,297","8,400","8,156","8,377","8,760","8,382","9,239","8,636","8,697","8,007","9,518","8,692"
,,,,,AWT,"8,533","9,085","8,707","8,640","8,641","8,983","8,724","9,692","8,658","9,017","8,339","9,363","8,862"
,,,,,ADT Tu-Th,"8,341","8,919","8,634","8,577","8,507","9,183","8,785","9,658","8,565","9,064","8,304","9,192","8,808"
,,,,,ADT Sa,"10,046","10,157","8,127","8,767","8,584","8,615","8,113","8,241","8,612","8,360","8,392","10,212","8,812"
,,,,,ADT Su,"9,291","9,492","7,385","6,133","7,059","8,116","6,690","8,559","8,540","7,198","6,294","9,594","7,871"
198,GOLDACH S (AB),,SG,A 1,ADT,"47,536","50,472","49,823","49,649","50,369","51,638","49,585","51,074","50,237","50,428","47,511","47,562","49,649"
,,,,,AWT,"48,941","50,632","51,391","52,066","52,528","53,503","50,769","52,135","50,603","51,347","50,002","49,296","51,079"
,,,,,ADT Tu-Th,"47,691","49,371","50,650","51,760","52,342","52,395","49,805","51,025","49,359","50,196","49,344","47,719","50,117"
,,,,,ADT Sa,"49,067","55,013","49,582","46,378","47,118","48,905","48,230","49,576","50,818","49,477","44,851","48,688","48,883"
,,,,,ADT Su,"40,130","45,134","43,480","43,775","44,551","47,245","44,137","48,790","47,647","46,093","40,210","40,740","44,287"
199,MENDRISIO S (AS),,TI,A 2,ADT,"49,609","51,320","52,307","60,076","57,580","63,662","69,173","63,215","64,616","59,941","52,482","52,969","58,111"
,,,,,AWT,"52,744","55,374","56,099","62,535","59,530","64,794","69,898","62,419","65,582","61,449","56,112","56,156","60,302"
,,,,,ADT Tu-Th,"53,089","54,900","55,185","62,403","58,476","63,047","67,722","60,769","63,947","60,448","55,552","55,322","59,425"
,,,,,ADT Sa,"45,990","43,308","46,702","57,078","55,185","65,490","70,251","67,237","64,447","58,668","47,444","52,326","56,020"
,,,,,ADT Su,"38,711","39,060","41,982","53,879","51,787","58,669","63,925","62,516","59,474","52,543","43,001","42,242","50,687"
200,"GENEVE, BARDONNEX (AR)",,GE,A 1,ADT,"53,529","51,840",,,,"56,562","58,594","55,276","53,776","53,962","50,786","53,066",
,,,,,AWT,"56,494","54,878",,,,"60,346","61,343","58,238","56,328","57,204","55,547","55,697",
,,,,,ADT Tu-Th,"55,143","54,755",,,,"59,042","59,840","57,185","54,655","55,927","54,224","53,878",
,,,,,ADT Sa,"52,095","47,137",,,,"50,882","54,423","51,123","48,916","47,416","44,519","53,092",
,,,,,ADT Su,"41,632","41,354",,,,"47,733","46,954","48,862","44,601","41,867","38,005","43,841",
201,SION E  (AR),,VS,A 9,ADT,"27,654","31,615","30,669","29,508","28,831","28,982","30,704","31,076","31,601","30,295","28,509","28,369","29,805"
,,,,,AWT,"29,277","32,988","32,553","31,785","31,580","31,418","32,810","33,044","33,267","32,499","31,720","30,963","31,993"
,,,,,ADT Tu-Th,"28,686","32,115","31,513","30,953","31,547","30,978","32,366","32,676","32,652","32,148","31,442","30,890","31,501"
,,,,,ADT Sa,"25,946","32,449","29,848","27,483","25,460","25,830","27,058","29,530","29,563","26,758","25,642","27,345","27,733"
,,,,,ADT Su,"21,880","23,913","23,581","23,270","20,654","22,965","22,242","25,807","24,475","21,155","18,532","19,975","22,375"
203,ROVEREDO (AS),,GR,A 13,ADT,"9,788","10,151","10,580","14,804","14,453","17,728","18,313","19,439","17,023","14,698","9,871","10,553","13,971"
,,,,,AWT,"9,472","9,977","10,618","13,841","13,660","15,942","17,065","17,285","15,931","13,802","10,214","10,542","13,222"
,,,,,ADT Tu-Th,"9,111","9,532","10,187","13,544","13,160","14,725","15,767","15,712","14,696","12,785","9,922","10,164","12,504"
,,,,,ADT Sa,"10,764","9,845","10,115","16,538","15,647","21,815","22,810","23,739","19,946","17,179","9,277","11,332","15,669"
,,,,,ADT Su,"10,401","11,325","10,883","16,858","16,593","20,955","20,992","23,036","20,107","17,373","9,090","10,074","15,659"
204,LAVORGO S (AS),,TI,A 2,ADT,,,,,,,,,,,"19,095","21,002",
,,,,,AWT,,,,,,,,,,,"18,442","20,331",
,,,,,ADT Tu-Th,,,,,,,,,,,"17,515","19,406",
,,,,,ADT Sa,,,,,,,,,,,"20,742","23,732",
,,,,,ADT Su,,,,,,,,,,,"20,057","21,531",
205,"EMMENBRUECKE, GRUEBLISCH. (AB)",,LU,A 2,ADT,"80,112","83,227","84,452","89,739","91,269","91,822","94,374","96,046","93,804","90,901","85,532","82,146","88,645"
,,,,,AWT,"85,744","88,684","90,960","96,274","96,340","96,615","98,236","100,740","96,842","94,786","92,336","87,796","93,780"
,,,,,ADT Tu-Th,"85,661","88,537","90,879","95,925","96,202","95,315","97,391","100,960","95,890","94,238","92,901","87,294","93,478"
,,,,,ADT Sa,"75,794","78,509","79,298","87,350","88,225","90,292","90,687","94,351","93,083","89,213","81,805","80,879","85,800"
,,,,,ADT Su,"58,785","60,660","62,269","69,551","73,012","76,867","75,853","81,812","77,813","70,251","62,042","63,219","69,459"
206,"YVERDON, EPENDES (AR)",,VD,A 1,ADT,,,,,,,,,,,,"51,622",
,,,,,AWT,,,,,,,,,,,,"54,274",
,,,,,ADT Tu-Th,,,,,,,,,,,,"53,422",
,,,,,ADT Sa,,,,,,,,,,,,"52,037",
,,,,,ADT Su,,,,,,,,,,,,"42,064",
207,HEIMBERG (AB),,BE,A 6,ADT,"53,085","57,511","57,134","54,505","56,810","59,173","57,584","63,170","57,113","57,416","54,527","54,067","56,841"
,,,,,AWT,"54,701","58,662","59,304","57,960","59,372","61,448","59,862","65,526","57,671","59,517","58,033","56,186","58,983"
,,,,,ADT Tu-Th,"53,997","57,657","59,253","57,841","59,315","61,420","60,159","64,767","57,430","59,412","58,183","55,481","58,707"
,,,,,ADT Sa,"52,857","60,545","57,160","53,578","54,471","57,269","55,840","60,117","59,509","55,796","53,929","53,788","56,252"
,,,,,ADT Su,"46,159","48,725","47,993","43,609","48,388","52,860","46,225","57,859","51,652","46,951","41,101","46,835","48,323"
209,"MARTIGNY, LE BROCARD",,VS,H 21,ADT,"14,916","16,574","15,711","14,646","15,188","16,127","18,744","18,658","17,794","16,629","15,130","16,104","16,355"
,,,,,AWT,"15,290","16,852","16,228","15,528","16,003","16,521","18,937","18,518","17,947","17,089","16,050","16,778","16,832"
,,,,,ADT Tu-Th,"14,861","16,264","15,681","15,127","15,879","15,997","18,294","17,932","17,339","16,650","15,774","16,583","16,388"
,,,,,ADT Sa,"14,629","16,780","15,335","13,950","14,260","15,545","19,063","19,629","18,114","16,463","14,659","16,244","16,203"
